"   ","STRENGTHS","WEAKNESSES","PLAYING_STYLE","P_NAME","P_ID","TEAM_NAME","PLAYER_ID","ROWID"
"12860","Ball Handling","Foul Prone","Isolation","Shooting Guard","2","""HOU""","4431","AACmXpAAGAAA2gOAAy"
"12861","Scoring","Weak Defense","Isolation","Power Forward","3","""DET""","18021","AACmXpAAGAAA2gOAAz"
"12862","Athleticism","Lack of Experience","Triangle Offense","Shooting Guard","5","""DEN""","12898","AACmXpAAGAAA2gOAA0"
"12863","Rebounding","Poor Ball Handling","Fast Break","Small Forward","4","""BOS""","10874","AACmXpAAGAAA2gOAA1"
"12864","Defense","Inconsistent Shooting","Small Ball","Shooting Guard","5","""LAC""","15399","AACmXpAAGAAA2gOAA2"
"12865","Rebounding","Lack of Size/Length","Man-to-Man Defense","Small Forward","5","""PHI""","9903","AACmXpAAGAAA2gOAA3"
"12866","Scoring","Inconsistent Shooting","Fast Break","Point Guard","1","""DEN""","10300","AACmXpAAGAAA2gOAA4"
"12867","Rebounding","Injury Prone","Triangle Offense","Center","4","""PHI""","10175","AACmXpAAGAAA2gOAA5"
"12868","Shooting","Poor Ball Handling","Zone Defense","Center","4","""UTA""","363","AACmXpAAGAAA2gOAA6"
"12869","Leadership","Poor Decision Making","Pick-and-Roll","Small Forward","2","""NYK""","18899","AACmXpAAGAAA2gOAA7"
"12870","Size/Length","Inconsistent Shooting","Fast Break","Shooting Guard","1","""ORL""","14375","AACmXpAAGAAA2gOAA8"
"12871","Leadership","Inconsistent Shooting","Half-Court Offense","Small Forward","5","""NYK""","6381","AACmXpAAGAAA2gOAA9"
"12872","Shooting","Inconsistent Shooting","Triangle Offense","Point Guard","5","""NOP""","5589","AACmXpAAGAAA2gOAA+"
"12873","Defense","Injury Prone","Man-to-Man Defense","Power Forward","1","""DET""","495","AACmXpAAGAAA2gOAA/"
"12874","Shooting","Lack of Experience","Triangle Offense","Point Guard","2","""HOU""","8944","AACmXpAAGAAA2gOABA"
"12875","Shooting","Inconsistent Shooting","Pick-and-Roll","Small Forward","2","""DET""","12539","AACmXpAAGAAA2gOABB"
"12876","Shooting","Lack of Experience","Man-to-Man Defense","Point Guard","4","""PHX""","7460","AACmXpAAGAAA2gOABC"
"12877","Shooting","Poor Decision Making","Small Ball","Small Forward","2","""MIN""","4418","AACmXpAAGAAA2gOABD"
"12878","Scoring","Inconsistent Shooting","Isolation","Power Forward","1","""DET""","15459","AACmXpAAGAAA2gOABE"
"12879","Shooting","Foul Prone","Man-to-Man Defense","Shooting Guard","2","""NOP""","9910","AACmXpAAGAAA2gOABF"
"12880","Defense","Poor Decision Making","Pick-and-Roll","Small Forward","4","""GSW""","18704","AACmXpAAGAAA2gOABG"
"12881","Ball Handling","Lack of Experience","Zone Defense","Center","3","""DAL""","7659","AACmXpAAGAAA2gOABH"
"12882","Size/Length","Inconsistent Shooting","Zone Defense","Power Forward","2","""UTA""","15418","AACmXpAAGAAA2gOABI"
"12883","Athleticism","Injury Prone","Zone Defense","Center","1","""CHA""","1657","AACmXpAAGAAA2gOABJ"
"12884","Leadership","Lack of Experience","Fast Break","Power Forward","5","""POR""","3625","AACmXpAAGAAA2gOABK"
"12885","Ball Handling","Poor Decision Making","Triangle Offense","Center","2","""CHI""","17667","AACmXpAAGAAA2gOABL"
"12886","Athleticism","Poor Decision Making","Fast Break","Power Forward","3","""NYK""","15678","AACmXpAAGAAA2gOABM"
"12887","Size/Length","Lack of Experience","Man-to-Man Defense","Small Forward","4","""CHA""","2500","AACmXpAAGAAA2gOABN"
"12888","Size/Length","Weak Defense","Small Ball","Shooting Guard","4","""IND""","16399","AACmXpAAGAAA2gOABO"
"12889","Basketball IQ","Poor Ball Handling","Triangle Offense","Center","5","""LAC""","18530","AACmXpAAGAAA2gOABP"
"12890","Size/Length","Injury Prone","Man-to-Man Defense","Power Forward","4","""POR""","13245","AACmXpAAGAAA2gOABQ"
"12891","Passing","Lack of Athleticism","Small Ball","Center","2","""MIL""","9629","AACmXpAAGAAA2gOABR"
"12892","Shooting","Poor Decision Making","Triangle Offense","Center","2","""CHA""","1502","AACmXpAAGAAA2gOABS"
"12893","Ball Handling","Weak Defense","Pick-and-Roll","Point Guard","2","""LAL""","17961","AACmXpAAGAAA2gOABT"
"12894","Shooting","Lack of Athleticism","Isolation","Shooting Guard","4","""POR""","1107","AACmXpAAGAAA2gOABU"
"12895","Basketball IQ","Injury Prone","Fast Break","Shooting Guard","4","""CHA""","5211","AACmXpAAGAAA2gOABV"
"12896","Passing","Poor Ball Handling","Isolation","Shooting Guard","1","""TOR""","325","AACmXpAAGAAA2gOABW"
"12897","Shooting","Lack of Experience","Triangle Offense","Shooting Guard","2","""DET""","17891","AACmXpAAGAAA2gOABX"
"12898","Defense","Weak Defense","Triangle Offense","Power Forward","1","""PHX""","1653","AACmXpAAGAAA2gOABY"
"12899","Shooting","Poor Decision Making","Half-Court Offense","Small Forward","4","""CLE""","5782","AACmXpAAGAAA2gOABZ"
"12900","Passing","Lack of Experience","Small Ball","Point Guard","1","""WAS""","13048","AACmXpAAGAAA2gOABa"
"12901","Versatility","Lack of Athleticism","Man-to-Man Defense","Center","2","""UTA""","16497","AACmXpAAGAAA2gOABb"
"12902","Basketball IQ","Poor Decision Making","Isolation","Point Guard","3","""MIN""","19257","AACmXpAAGAAA2gOABc"
"12903","Shooting","Poor Decision Making","Zone Defense","Shooting Guard","2","""NYK""","18850","AACmXpAAGAAA2gOABd"
"12904","Versatility","Weak Defense","Fast Break","Shooting Guard","4","""IND""","9825","AACmXpAAGAAA2gOABe"
"12905","Athleticism","Inconsistent Shooting","Man-to-Man Defense","Small Forward","3","""DAL""","14459","AACmXpAAGAAA2gOABf"
"12906","Rebounding","Foul Prone","Isolation","Point Guard","5","""CLE""","8589","AACmXpAAGAAA2gOABg"
"12907","Scoring","Foul Prone","Half-Court Offense","Shooting Guard","3","ATL","12022","AACmXpAAGAAA2gOABh"
"12908","Size/Length","Injury Prone","Isolation","Center","2","""LAC""","8942","AACmXpAAGAAA2gPAAA"
"12909","Scoring","Lack of Athleticism","Pick-and-Roll","Shooting Guard","4","""PHI""","12110","AACmXpAAGAAA2gPAAB"
"12910","Leadership","Weak Defense","Man-to-Man Defense","Point Guard","4","""SAS""","15881","AACmXpAAGAAA2gPAAC"
"12911","Scoring","Lack of Athleticism","Triangle Offense","Point Guard","1","""OKC""","15749","AACmXpAAGAAA2gPAAD"
"12912","Leadership","Injury Prone","Pick-and-Roll","Center","3","""DET""","1336","AACmXpAAGAAA2gPAAE"
"12913","Rebounding","Lack of Size/Length","Pick-and-Roll","Power Forward","2","""MEM""","17967","AACmXpAAGAAA2gPAAF"
"12914","Rebounding","Weak Defense","Zone Defense","Center","5","""LAC""","141","AACmXpAAGAAA2gPAAG"
"12915","Leadership","Injury Prone","Fast Break","Power Forward","1","""OKC""","10742","AACmXpAAGAAA2gPAAH"
"12916","Leadership","Weak Defense","Pick-and-Roll","Center","4","""IND""","9684","AACmXpAAGAAA2gPAAI"
"12917","Leadership","Poor Decision Making","Small Ball","Small Forward","3","""OKC""","4104","AACmXpAAGAAA2gPAAJ"
"12918","Defense","Injury Prone","Half-Court Offense","Point Guard","3","""SAC""","8511","AACmXpAAGAAA2gPAAK"
"12919","Shooting","Lack of Athleticism","Half-Court Offense","Center","5","""HOU""","8219","AACmXpAAGAAA2gPAAL"
"12920","Size/Length","Foul Prone","Zone Defense","Power Forward","4","""MIN""","18687","AACmXpAAGAAA2gPAAM"
"12921","Athleticism","Poor Ball Handling","Fast Break","Center","1","""SAC""","18929","AACmXpAAGAAA2gPAAN"
"12922","Shooting","Lack of Experience","Half-Court Offense","Shooting Guard","4","""MIL""","2237","AACmXpAAGAAA2gPAAO"
"12923","Shooting","Weak Defense","Small Ball","Center","1","""IND""","10802","AACmXpAAGAAA2gPAAP"
"12924","Shooting","Lack of Experience","Fast Break","Power Forward","2","""CLE""","9804","AACmXpAAGAAA2gPAAQ"
"12925","Versatility","Poor Decision Making","Half-Court Offense","Point Guard","3","""IND""","15686","AACmXpAAGAAA2gPAAR"
"12926","Shooting","Injury Prone","Isolation","Power Forward","4","""MIN""","11271","AACmXpAAGAAA2gPAAS"
"12927","Versatility","Poor Ball Handling","Zone Defense","Shooting Guard","1","""BKN""","14428","AACmXpAAGAAA2gPAAT"
"12928","Passing","Poor Decision Making","Triangle Offense","Small Forward","3","""LAL""","19939","AACmXpAAGAAA2gPAAU"
"12929","Scoring","Weak Defense","Fast Break","Center","1","""WAS""","16217","AACmXpAAGAAA2gPAAV"
"12930","Scoring","Injury Prone","Half-Court Offense","Shooting Guard","3","""POR""","10076","AACmXpAAGAAA2gPAAW"
"12931","Leadership","Weak Defense","Zone Defense","Center","1","""PHX""","14972","AACmXpAAGAAA2gPAAX"
"12932","Size/Length","Lack of Athleticism","Fast Break","Small Forward","3","""HOU""","8504","AACmXpAAGAAA2gPAAY"
"12933","Leadership","Injury Prone","Zone Defense","Shooting Guard","4","""POR""","16776","AACmXpAAGAAA2gPAAZ"
"12934","Basketball IQ","Lack of Athleticism","Isolation","Shooting Guard","1","""DEN""","10719","AACmXpAAGAAA2gPAAa"
"12935","Defense","Poor Decision Making","Triangle Offense","Shooting Guard","1","""IND""","17703","AACmXpAAGAAA2gPAAb"
"12936","Shooting","Foul Prone","Fast Break","Center","2","""MIL""","16932","AACmXpAAGAAA2gPAAc"
"12937","Shooting","Lack of Size/Length","Half-Court Offense","Shooting Guard","4","""LAL""","18699","AACmXpAAGAAA2gPAAd"
"12938","Scoring","Lack of Size/Length","Half-Court Offense","Center","2","""POR""","19812","AACmXpAAGAAA2gPAAe"
"12939","Shooting","Injury Prone","Small Ball","Center","4","""POR""","4883","AACmXpAAGAAA2gPAAf"
"12940","Basketball IQ","Injury Prone","Isolation","Small Forward","2","""SAC""","9685","AACmXpAAGAAA2gPAAg"
"12941","Rebounding","Weak Defense","Zone Defense","Shooting Guard","1","""UTA""","11760","AACmXpAAGAAA2gPAAh"
"12942","Defense","Weak Defense","Fast Break","Power Forward","2","ATL","10861","AACmXpAAGAAA2gPAAi"
"12943","Athleticism","Lack of Athleticism","Fast Break","Point Guard","1","""TOR""","1823","AACmXpAAGAAA2gPAAj"
"12944","Size/Length","Weak Defense","Small Ball","Center","4","""HOU""","10837","AACmXpAAGAAA2gPAAk"
"12945","Defense","Poor Ball Handling","Man-to-Man Defense","Point Guard","3","""WAS""","3006","AACmXpAAGAAA2gPAAl"
"12946","Basketball IQ","Foul Prone","Fast Break","Shooting Guard","3","""IND""","8586","AACmXpAAGAAA2gPAAm"
"12947","Athleticism","Inconsistent Shooting","Man-to-Man Defense","Small Forward","5","""MIA""","6705","AACmXpAAGAAA2gPAAn"
"12948","Versatility","Weak Defense","Small Ball","Point Guard","1","""IND""","15274","AACmXpAAGAAA2gPAAo"
"12949","Ball Handling","Poor Decision Making","Half-Court Offense","Point Guard","4","""WAS""","8900","AACmXpAAGAAA2gPAAp"
"12950","Passing","Poor Decision Making","Isolation","Center","4","""NYK""","6783","AACmXpAAGAAA2gPAAq"
"12951","Athleticism","Poor Decision Making","Fast Break","Power Forward","3","""DET""","14493","AACmXpAAGAAA2gPAAr"
"12952","Scoring","Poor Ball Handling","Isolation","Small Forward","4","""CLE""","18602","AACmXpAAGAAA2gPAAs"
"12953","Shooting","Lack of Size/Length","Fast Break","Small Forward","5","""SAS""","13573","AACmXpAAGAAA2gPAAt"
"12954","Shooting","Poor Ball Handling","Pick-and-Roll","Shooting Guard","3","""WAS""","6275","AACmXpAAGAAA2gPAAu"
"12955","Defense","Foul Prone","Isolation","Small Forward","5","""ORL""","10236","AACmXpAAGAAA2gPAAv"
"12956","Scoring","Inconsistent Shooting","Triangle Offense","Center","2","""PHX""","14792","AACmXpAAGAAA2gPAAw"
"12957","Passing","Lack of Experience","Triangle Offense","Center","4","""LAL""","1002","AACmXpAAGAAA2gPAAx"
"12958","Defense","Poor Decision Making","Pick-and-Roll","Power Forward","5","""MIA""","4533","AACmXpAAGAAA2gPAAy"
"12959","Ball Handling","Poor Decision Making","Pick-and-Roll","Power Forward","4","""LAL""","12073","AACmXpAAGAAA2gPAAz"
"12960","Ball Handling","Injury Prone","Man-to-Man Defense","Power Forward","5","""SAC""","15651","AACmXpAAGAAA2gPAA0"
"12961","Shooting","Inconsistent Shooting","Zone Defense","Power Forward","3","""TOR""","13929","AACmXpAAGAAA2gPAA1"
"12962","Shooting","Lack of Experience","Triangle Offense","Small Forward","4","""LAC""","13508","AACmXpAAGAAA2gPAA2"
"12963","Defense","Lack of Size/Length","Man-to-Man Defense","Power Forward","2","""POR""","9264","AACmXpAAGAAA2gPAA3"
"12964","Size/Length","Lack of Size/Length","Isolation","Center","4","""HOU""","11173","AACmXpAAGAAA2gPAA4"
"12965","Versatility","Lack of Athleticism","Half-Court Offense","Power Forward","4","""BKN""","17327","AACmXpAAGAAA2gPAA5"
"12966","Ball Handling","Lack of Size/Length","Isolation","Shooting Guard","2","""DEN""","7258","AACmXpAAGAAA2gPAA6"
"12967","Passing","Foul Prone","Fast Break","Power Forward","2","""SAS""","5551","AACmXpAAGAAA2gPAA7"
"12968","Versatility","Weak Defense","Small Ball","Center","2","""POR""","14823","AACmXpAAGAAA2gPAA8"
"12969","Passing","Foul Prone","Fast Break","Point Guard","5","""BKN""","9234","AACmXpAAGAAA2gPAA9"
"12970","Passing","Foul Prone","Zone Defense","Center","3","""MEM""","5918","AACmXpAAGAAA2gPAA+"
"12971","Versatility","Injury Prone","Zone Defense","Shooting Guard","4","""BKN""","3162","AACmXpAAGAAA2gPAA/"
"12972","Leadership","Lack of Experience","Fast Break","Power Forward","5","""GSW""","2836","AACmXpAAGAAA2gPABA"
"12973","Rebounding","Injury Prone","Man-to-Man Defense","Small Forward","2","""IND""","6757","AACmXpAAGAAA2gPABB"
"12974","Versatility","Inconsistent Shooting","Isolation","Center","4","""POR""","7580","AACmXpAAGAAA2gPABC"
"12975","Ball Handling","Weak Defense","Man-to-Man Defense","Center","4","""PHI""","7773","AACmXpAAGAAA2gPABD"
"12976","Size/Length","Foul Prone","Fast Break","Point Guard","2","""WAS""","1572","AACmXpAAGAAA2gPABE"
"12977","Leadership","Injury Prone","Fast Break","Power Forward","1","""BKN""","70","AACmXpAAGAAA2gPABF"
"12978","Shooting","Inconsistent Shooting","Pick-and-Roll","Small Forward","4","""MIL""","4651","AACmXpAAGAAA2gPABG"
"12979","Athleticism","Weak Defense","Fast Break","Point Guard","4","""SAC""","19742","AACmXpAAGAAA2gPABH"
"12980","Rebounding","Foul Prone","Small Ball","Small Forward","5","""MIL""","2007","AACmXpAAGAAA2gPABI"
"12981","Shooting","Lack of Experience","Small Ball","Power Forward","5","""GSW""","12208","AACmXpAAGAAA2gPABJ"
"12982","Passing","Foul Prone","Triangle Offense","Power Forward","1","""MEM""","6236","AACmXpAAGAAA2gPABK"
"12983","Athleticism","Lack of Athleticism","Isolation","Center","3","""ORL""","1919","AACmXpAAGAAA2gPABL"
"12984","Shooting","Foul Prone","Fast Break","Power Forward","1","""SAS""","5410","AACmXpAAGAAA2gPABM"
"12985","Rebounding","Lack of Athleticism","Small Ball","Small Forward","5","""BOS""","7479","AACmXpAAGAAA2gPABN"
"12986","Basketball IQ","Lack of Athleticism","Fast Break","Center","3","""LAC""","13128","AACmXpAAGAAA2gPABO"
"12987","Ball Handling","Injury Prone","Zone Defense","Small Forward","1","""OKC""","19357","AACmXpAAGAAA2gPABP"
"12988","Ball Handling","Lack of Experience","Zone Defense","Shooting Guard","5","""PHX""","9283","AACmXpAAGAAA2gPABQ"
"12989","Size/Length","Lack of Size/Length","Triangle Offense","Shooting Guard","4","""IND""","16295","AACmXpAAGAAA2gPABR"
"12990","Shooting","Lack of Experience","Isolation","Shooting Guard","3","""PHI""","16954","AACmXpAAGAAA2gPABS"
"12991","Defense","Poor Ball Handling","Pick-and-Roll","Power Forward","5","""PHI""","11227","AACmXpAAGAAA2gPABT"
"12992","Passing","Poor Ball Handling","Zone Defense","Shooting Guard","3","""PHI""","7605","AACmXpAAGAAA2gPABU"
"12993","Leadership","Injury Prone","Isolation","Point Guard","2","""HOU""","9252","AACmXpAAGAAA2gPABV"
"12994","Shooting","Foul Prone","Fast Break","Small Forward","4","""CHA""","46","AACmXpAAGAAA2gPABW"
"12995","Size/Length","Inconsistent Shooting","Half-Court Offense","Small Forward","1","""CHA""","251","AACmXpAAGAAA2gPABX"
"12996","Size/Length","Injury Prone","Fast Break","Point Guard","4","""PHX""","4462","AACmXpAAGAAA2gPABY"
"12997","Athleticism","Foul Prone","Zone Defense","Power Forward","2","""BOS""","18246","AACmXpAAGAAA2gPABZ"
"12998","Shooting","Injury Prone","Fast Break","Power Forward","5","""NOP""","17592","AACmXpAAGAAA2gPABa"
"12999","Shooting","Foul Prone","Isolation","Center","4","""MIL""","9972","AACmXpAAGAAA2gPABb"
"13000","Athleticism","Inconsistent Shooting","Triangle Offense","Small Forward","1","""SAS""","5121","AACmXpAAGAAA2gPABc"
"13001","Scoring","Inconsistent Shooting","Pick-and-Roll","Center","1","""TOR""","7468","AACmXpAAGAAA2gPABd"
"13002","Leadership","Lack of Size/Length","Fast Break","Power Forward","5","""POR""","8642","AACmXpAAGAAA2gPABe"
"13003","Size/Length","Poor Decision Making","Fast Break","Center","5","""LAC""","5162","AACmXpAAGAAA2gPABf"
"13004","Ball Handling","Weak Defense","Isolation","Small Forward","4","""MIA""","13603","AACmXpAAGAAA2gPABg"
"13005","Basketball IQ","Inconsistent Shooting","Fast Break","Center","3","""DAL""","2064","AACmXpAAGAAA2gPABh"
"13006","Ball Handling","Inconsistent Shooting","Isolation","Center","2","""OKC""","7517","AACmXpAAGAAA2gPABi"
"13007","Ball Handling","Poor Decision Making","Triangle Offense","Point Guard","2","""SAC""","15692","AACmXpAAGAAA2gPABj"
"13008","Passing","Injury Prone","Isolation","Point Guard","5","""MIA""","10821","AACmXpAAGAAA2gPABk"
"13009","Leadership","Foul Prone","Isolation","Small Forward","3","""SAS""","7286","AACmXpAAGAAA2gPABl"
"13010","Passing","Lack of Experience","Pick-and-Roll","Small Forward","1","""MEM""","3922","AACmXpAAGAAA2gQAAA"
"13011","Shooting","Lack of Athleticism","Isolation","Shooting Guard","3","""ORL""","4754","AACmXpAAGAAA2gQAAB"
"13012","Athleticism","Poor Decision Making","Isolation","Power Forward","3","""DET""","14620","AACmXpAAGAAA2gQAAC"
"13013","Defense","Injury Prone","Small Ball","Power Forward","3","""WAS""","11648","AACmXpAAGAAA2gQAAD"
"13014","Basketball IQ","Lack of Athleticism","Zone Defense","Point Guard","1","""IND""","6144","AACmXpAAGAAA2gQAAE"
"13015","Leadership","Lack of Size/Length","Isolation","Point Guard","2","""SAC""","5602","AACmXpAAGAAA2gQAAF"
"13016","Scoring","Poor Ball Handling","Half-Court Offense","Point Guard","1","""BOS""","14183","AACmXpAAGAAA2gQAAG"
"13017","Ball Handling","Lack of Size/Length","Triangle Offense","Shooting Guard","2","""CHA""","8662","AACmXpAAGAAA2gQAAH"
"13018","Leadership","Weak Defense","Pick-and-Roll","Small Forward","4","""BKN""","3683","AACmXpAAGAAA2gQAAI"
"13019","Shooting","Weak Defense","Isolation","Center","3","""MEM""","16806","AACmXpAAGAAA2gQAAJ"
"13020","Rebounding","Weak Defense","Pick-and-Roll","Power Forward","2","""IND""","4423","AACmXpAAGAAA2gQAAK"
"13021","Passing","Foul Prone","Pick-and-Roll","Power Forward","5","ATL","9613","AACmXpAAGAAA2gQAAL"
"13022","Athleticism","Lack of Athleticism","Half-Court Offense","Small Forward","2","""SAS""","12025","AACmXpAAGAAA2gQAAM"
"13023","Shooting","Weak Defense","Pick-and-Roll","Point Guard","5","""UTA""","14870","AACmXpAAGAAA2gQAAN"
"13024","Rebounding","Poor Decision Making","Fast Break","Small Forward","1","""BKN""","13981","AACmXpAAGAAA2gQAAO"
"13025","Basketball IQ","Lack of Experience","Small Ball","Small Forward","1","""DET""","6992","AACmXpAAGAAA2gQAAP"
"13026","Ball Handling","Injury Prone","Half-Court Offense","Small Forward","2","""GSW""","6770","AACmXpAAGAAA2gQAAQ"
"13027","Rebounding","Injury Prone","Man-to-Man Defense","Shooting Guard","2","""SAS""","15837","AACmXpAAGAAA2gQAAR"
"13028","Leadership","Injury Prone","Small Ball","Small Forward","1","""BKN""","10551","AACmXpAAGAAA2gQAAS"
"13029","Basketball IQ","Lack of Experience","Pick-and-Roll","Center","5","""WAS""","5958","AACmXpAAGAAA2gQAAT"
"13030","Ball Handling","Weak Defense","Isolation","Power Forward","5","""CHA""","8487","AACmXpAAGAAA2gQAAU"
"13031","Rebounding","Weak Defense","Half-Court Offense","Power Forward","1","""BKN""","16786","AACmXpAAGAAA2gQAAV"
"13032","Ball Handling","Lack of Size/Length","Fast Break","Shooting Guard","5","""PHI""","14730","AACmXpAAGAAA2gQAAW"
"13033","Defense","Lack of Size/Length","Half-Court Offense","Power Forward","2","""CHI""","3069","AACmXpAAGAAA2gQAAX"
"13034","Rebounding","Lack of Size/Length","Zone Defense","Point Guard","3","""DEN""","14705","AACmXpAAGAAA2gQAAY"
"13035","Scoring","Poor Ball Handling","Zone Defense","Power Forward","5","""BOS""","3124","AACmXpAAGAAA2gQAAZ"
"13036","Ball Handling","Weak Defense","Pick-and-Roll","Small Forward","1","""PHX""","19912","AACmXpAAGAAA2gQAAa"
"13037","Versatility","Poor Ball Handling","Man-to-Man Defense","Power Forward","1","""IND""","1596","AACmXpAAGAAA2gQAAb"
"13038","Shooting","Weak Defense","Zone Defense","Point Guard","3","""NYK""","3091","AACmXpAAGAAA2gQAAc"
"13039","Defense","Lack of Athleticism","Small Ball","Center","1","""MIA""","4501","AACmXpAAGAAA2gQAAd"
"13040","Rebounding","Injury Prone","Fast Break","Power Forward","5","""HOU""","4770","AACmXpAAGAAA2gQAAe"
"13041","Passing","Inconsistent Shooting","Zone Defense","Power Forward","2","""LAL""","18732","AACmXpAAGAAA2gQAAf"
"13042","Passing","Lack of Size/Length","Isolation","Point Guard","3","""LAC""","14886","AACmXpAAGAAA2gQAAg"
"13043","Defense","Weak Defense","Small Ball","Point Guard","5","""MIN""","7140","AACmXpAAGAAA2gQAAh"
"13044","Leadership","Lack of Athleticism","Pick-and-Roll","Point Guard","1","""PHI""","9907","AACmXpAAGAAA2gQAAi"
"13045","Rebounding","Poor Decision Making","Isolation","Shooting Guard","4","""POR""","5002","AACmXpAAGAAA2gQAAj"
"13046","Shooting","Poor Ball Handling","Half-Court Offense","Center","2","""BOS""","12651","AACmXpAAGAAA2gQAAk"
"13047","Versatility","Lack of Athleticism","Small Ball","Point Guard","2","""MIL""","15415","AACmXpAAGAAA2gQAAl"
"13048","Shooting","Lack of Experience","Isolation","Center","3","""ORL""","15222","AACmXpAAGAAA2gQAAm"
"13049","Ball Handling","Poor Ball Handling","Small Ball","Small Forward","3","""SAC""","1208","AACmXpAAGAAA2gQAAn"
"13050","Passing","Poor Ball Handling","Small Ball","Power Forward","5","""MIA""","11402","AACmXpAAGAAA2gQAAo"
"13051","Leadership","Lack of Size/Length","Fast Break","Small Forward","5","""POR""","473","AACmXpAAGAAA2gQAAp"
"13052","Versatility","Lack of Size/Length","Small Ball","Center","2","""TOR""","19566","AACmXpAAGAAA2gQAAq"
"13053","Scoring","Weak Defense","Small Ball","Small Forward","4","""LAL""","3185","AACmXpAAGAAA2gQAAr"
"13054","Size/Length","Inconsistent Shooting","Triangle Offense","Small Forward","3","""DET""","7178","AACmXpAAGAAA2gQAAs"
"13055","Scoring","Injury Prone","Half-Court Offense","Small Forward","3","""BOS""","18718","AACmXpAAGAAA2gQAAt"
"13056","Basketball IQ","Injury Prone","Small Ball","Small Forward","3","""DEN""","9244","AACmXpAAGAAA2gQAAu"
"13057","Ball Handling","Lack of Size/Length","Fast Break","Shooting Guard","2","""MIL""","9720","AACmXpAAGAAA2gQAAv"
"13058","Leadership","Inconsistent Shooting","Triangle Offense","Small Forward","1","""WAS""","12114","AACmXpAAGAAA2gQAAw"
"13059","Passing","Poor Decision Making","Man-to-Man Defense","Center","4","""MIL""","7984","AACmXpAAGAAA2gQAAx"
"13060","Ball Handling","Lack of Athleticism","Isolation","Power Forward","3","""DET""","6928","AACmXpAAGAAA2gQAAy"
"13061","Rebounding","Poor Ball Handling","Triangle Offense","Point Guard","4","""MEM""","13917","AACmXpAAGAAA2gQAAz"
"13062","Versatility","Lack of Athleticism","Fast Break","Shooting Guard","4","""PHX""","10082","AACmXpAAGAAA2gQAA0"
"13063","Leadership","Inconsistent Shooting","Pick-and-Roll","Center","1","""TOR""","14176","AACmXpAAGAAA2gQAA1"
"13064","Athleticism","Foul Prone","Small Ball","Shooting Guard","4","""PHX""","17539","AACmXpAAGAAA2gQAA2"
"13065","Basketball IQ","Injury Prone","Pick-and-Roll","Point Guard","5","""POR""","3335","AACmXpAAGAAA2gQAA3"
"13066","Rebounding","Poor Decision Making","Triangle Offense","Center","3","""BKN""","11963","AACmXpAAGAAA2gQAA4"
"13067","Rebounding","Lack of Athleticism","Small Ball","Center","3","""BOS""","6229","AACmXpAAGAAA2gQAA5"
"13068","Size/Length","Inconsistent Shooting","Pick-and-Roll","Power Forward","5","ATL","12673","AACmXpAAGAAA2gQAA6"
"13069","Athleticism","Lack of Size/Length","Pick-and-Roll","Center","1","""CHA""","19210","AACmXpAAGAAA2gQAA7"
"13070","Passing","Lack of Size/Length","Isolation","Point Guard","4","""TOR""","14609","AACmXpAAGAAA2gQAA8"
"13071","Shooting","Lack of Size/Length","Zone Defense","Shooting Guard","5","""TOR""","2171","AACmXpAAGAAA2gQAA9"
"13072","Basketball IQ","Poor Decision Making","Half-Court Offense","Shooting Guard","4","""MIN""","113","AACmXpAAGAAA2gQAA+"
"13073","Scoring","Poor Decision Making","Triangle Offense","Power Forward","3","""CHI""","10067","AACmXpAAGAAA2gQAA/"
"13074","Defense","Weak Defense","Pick-and-Roll","Center","5","""GSW""","12552","AACmXpAAGAAA2gQABA"
"13075","Size/Length","Poor Decision Making","Small Ball","Small Forward","4","""GSW""","14116","AACmXpAAGAAA2gQABB"
"13076","Passing","Inconsistent Shooting","Fast Break","Small Forward","3","""PHX""","10009","AACmXpAAGAAA2gQABC"
"13077","Passing","Foul Prone","Isolation","Small Forward","4","""NYK""","43","AACmXpAAGAAA2gQABD"
"13078","Athleticism","Inconsistent Shooting","Pick-and-Roll","Center","3","""DAL""","16543","AACmXpAAGAAA2gQABE"
"13079","Shooting","Lack of Experience","Zone Defense","Center","5","""BOS""","4992","AACmXpAAGAAA2gQABF"
"13080","Versatility","Weak Defense","Small Ball","Point Guard","3","""MIN""","14282","AACmXpAAGAAA2gQABG"
"13081","Size/Length","Foul Prone","Half-Court Offense","Center","5","""MIN""","17228","AACmXpAAGAAA2gQABH"
"13082","Basketball IQ","Lack of Experience","Pick-and-Roll","Point Guard","5","""POR""","17957","AACmXpAAGAAA2gQABI"
"13083","Shooting","Inconsistent Shooting","Man-to-Man Defense","Center","4","""PHX""","14823","AACmXpAAGAAA2gQABJ"
"13084","Rebounding","Lack of Experience","Small Ball","Point Guard","2","""CLE""","803","AACmXpAAGAAA2gQABK"
"13085","Versatility","Weak Defense","Pick-and-Roll","Center","1","""CHA""","12336","AACmXpAAGAAA2gQABL"
"13086","Basketball IQ","Inconsistent Shooting","Pick-and-Roll","Power Forward","1","""TOR""","3149","AACmXpAAGAAA2gQABM"
"13087","Basketball IQ","Poor Ball Handling","Triangle Offense","Center","4","""UTA""","19371","AACmXpAAGAAA2gQABN"
"13088","Scoring","Inconsistent Shooting","Triangle Offense","Shooting Guard","3","""HOU""","8932","AACmXpAAGAAA2gQABO"
